Área Geográfica,Metros,Precio-Metro,Ultima Actualizacion
"
							Collado Villalba
						",90 m2,2.500 €/m2,hoy 16:44
"
							Garena (Alcalá de Henares)
						",138 m2,2.173 €/m2,hoy 16:42
"
							Abrantes (Madrid)
						",78 m2,2.115 €/m2,hoy 16:42
"
							Villa del Prado
						",132 m2,750 €/m2,hoy 16:39
"
							Abrantes (Madrid)
						",105 m2,1.762 €/m2,hoy 16:37
"
							Ciudad Jardín (Madrid)
						",50 m2,4.300 €/m2,hoy 16:36
"
							Torrelodones, Los Peñascales
						",205 m2,2.434 €/m2,hoy 16:20
"
							Navalcarnero, centro
						",80 m2,1.213 €/m2,hoy 16:19
"
							Hoyo de Manzanares
						",122 m2,2.295 €/m2,hoy 16:16
"
							Nuevo Baztán, Nuevo Baztán
						",107 m2,1.495 €/m2,hoy 16:16
"
							Vicálvaro (Madrid)
						",173 m2,3.006 €/m2,hoy 16:15
"
							Griñón, Griñón
						",70 m2,1.357 €/m2,hoy 16:14
"
							Griñón, Griñón
						",200 m2,1.890 €/m2,hoy 16:14
"
							Navalafuente
						",463 m2,3.886 €/m2,hoy 16:12
"
							Pueblo Nuevo (Madrid)
						",53 m2,2.925 €/m2,hoy 16:11
"
							Nueva España (Madrid), Nueva España
						",66 m2,7.576 €/m2,hoy 16:04
"
							Nueva España (Madrid)
						",80 m2,5.038 €/m2,hoy 16:03
"
							Torrelodones
						",303 m2,1.931 €/m2,hoy 15:49
"
							Estremera
						",111 m2,180 €/m2,hoy 15:48
"
							Santa Eugenia (Madrid)
						",86 m2,2.302 €/m2,hoy 15:48
"
							Daganzo de Arriba, Paseo de los Músicos
						",72 m2,2.194 €/m2,hoy 15:37
"
							San Agustín del Guadalix, San Agustín del Guadalix
						",200 m2,2.925 €/m2,hoy 15:22
"
							Lista (Madrid)
						",106 m2,6.132 €/m2,hoy 15:21
"
							Griñón, La Ermita
						",112 m2,2.188 €/m2,hoy 14:57
"
							Alpedrete
						",300 m2,1.430 €/m2,hoy 14:56
"
							Alpedrete
						",90 m2,2.922 €/m2,hoy 14:55
"
							Mejorada del Campo
						",44 m2,1.739 €/m2,hoy 14:53
"
							Pinto, Parque  Europa
						",89 m2,2.191 €/m2,hoy 14:50
"
							Alpedrete
						",250 m2,1.700 €/m2,hoy 14:40
"
							El Boalo 
						",120 m2,1.262 €/m2,hoy 14:38
"
							Centro (Leganés), 5 centenario
						",121 m2,1.554 €/m2,hoy 14:35
"
							Humanes de Madrid
						",295 m2,1.271 €/m2,hoy 14:31
"
							Pavones (Madrid)
						",53 m2,2.057 €/m2,hoy 14:23
"
							Rinconada (Alcalá de Henares)
						",68 m2,1.250 €/m2,hoy 14:06
"
							Ensanche (Alcalá de Henares)
						",275 m2,1.600 €/m2,hoy 13:56
"
							Ensanche (Alcalá de Henares)
						",259 m2,1.486 €/m2,hoy 13:54
"
							Pueblo Nuevo (Madrid)
						",85 m2,2.459 €/m2,hoy 13:52
"
							Fuente del Berro (Madrid)
						",47 m2,6.702 €/m2,hoy 13:45
"
							Rivas-VaciaMadrid, Covibar
						",135 m2,1.703 €/m2,hoy 13:42
"
							Rivas-VaciaMadrid, Paseo de las Provincias
						",102 m2,2.696 €/m2,hoy 13:40
"
							Pavones (Madrid)
						",200 m2,3.400 €/m2,hoy 13:37
"
							Castillejos (Madrid)
						",69 m2,2.159 €/m2,hoy 13:30
"
							Sevilla la Nueva
						",277 m2,1.534 €/m2,hoy 13:22
"
							Sevilla la Nueva
						",516 m2,1.328 €/m2,hoy 13:21
"
							Titulcia
						",201 m2,871 €/m2,hoy 13:20
"
							Nuevo Baztán, Nuevo Baztán
						",190 m2,1.568 €/m2,hoy 13:19
"
							Centro (Casco Antiguo) (Alcorcón), Valderas-Los Castillos-Parque Lisboa
						",75 m2,2.399 €/m2,hoy 13:14
"
							Centro (Leganés)
						",455 m2,1.077 €/m2,hoy 13:03
"
							Boadilla del Monte, Valdepastores-Pino Centinela-Las Encinas
						",140 m2,4.248 €/m2,hoy 13:00
"
							Salamanca (Madrid)
						",141 m2,3.794 €/m2,hoy 12:58
"
							Boadilla del Monte, Viñas Viejas
						",275 m2,2.345 €/m2,hoy 12:56
"
							Boadilla del Monte, Mayorazgo (Boadilla)
						",146 m2,4.094 €/m2,hoy 12:56
"
							Boadilla del Monte, CASCO URBANO
						",120 m2,2.500 €/m2,hoy 12:52
"
							San Sebastián de los Reyes, Casco Antiguo
						",74 m2,2.216 €/m2,hoy 12:49
"
							Prosperidad (Madrid)
						",82 m2,4.817 €/m2,hoy 12:47
"
							Salamanca (Madrid)
						",135 m2,5.259 €/m2,hoy 12:47
"
							Ciudad Jardín (Madrid)
						",130 m2,7.308 €/m2,hoy 12:47
"
							Prosperidad (Madrid)
						",92 m2,4.783 €/m2,hoy 12:47
"
							Ciudad Lineal (Madrid)
						",99 m2,4.343 €/m2,hoy 12:47
"
							Ciudad Lineal (Madrid)
						",94 m2,3.404 €/m2,hoy 12:47
"
							Salamanca (Madrid)
						",57 m2,4.500 €/m2,hoy 12:47
"
							Salamanca (Madrid)
						",173 m2,4.595 €/m2,hoy 12:47
"
							Ventas (Madrid)
						",86 m2,6.802 €/m2,hoy 12:47
"
							Concepción (Madrid)
						",101 m2,4.554 €/m2,hoy 12:47
"
							Prosperidad (Madrid)
						",134 m2,3.545 €/m2,hoy 12:47
"
							Prosperidad (Madrid)
						",42 m2,5.357 €/m2,hoy 12:47
"
							Prosperidad (Madrid)
						",90 m2,4.611 €/m2,hoy 12:47
"
							Prosperidad (Madrid)
						",87 m2,5.460 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",57 m2,5.088 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",214 m2,6.308 €/m2,hoy 12:46
"
							Prosperidad (Madrid)
						",82 m2,4.817 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",210 m2,5.714 €/m2,hoy 12:46
"
							Ciudad Lineal (Madrid)
						",99 m2,4.242 €/m2,hoy 12:46
"
							Ciudad Lineal (Madrid)
						",99 m2,4.242 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",135 m2,5.259 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",210 m2,5.714 €/m2,hoy 12:46
"
							Quintana (Madrid)
						",87 m2,3.793 €/m2,hoy 12:46
"
							Pueblo Nuevo (Madrid)
						",65 m2,3.846 €/m2,hoy 12:46
"
							Prosperidad (Madrid)
						",42 m2,5.357 €/m2,hoy 12:46
"
							Ciudad Lineal (Madrid)
						",139 m2,4.281 €/m2,hoy 12:46
"
							Ciudad Lineal (Madrid)
						",98 m2,3.673 €/m2,hoy 12:46
"
							Quintana (Madrid)
						",66 m2,3.000 €/m2,hoy 12:46
"
							Prosperidad (Madrid)
						",57 m2,4.386 €/m2,hoy 12:46
"
							Prosperidad (Madrid)
						",135 m2,2.444 €/m2,hoy 12:46
"
							Prosperidad (Madrid)
						",442 m2,3.165 €/m2,hoy 12:46
"
							Salamanca (Madrid)
						",84 m2,5.119 €/m2,hoy 12:46
"
							Ventas (Madrid)
						",74 m2,2.568 €/m2,hoy 12:46
"
							Valdeolmos-Alalpardo
						",65 m2,2.292 €/m2,hoy 12:45
"
							Hortaleza (Madrid)
						",109 m2,2.569 €/m2,hoy 12:45
"
							Navalcarnero, La Dehesa - El Pinar
						",30000 m2,3 €/m2,hoy 12:43
"
							Piovera (Madrid)
						",67 m2,3.657 €/m2,hoy 12:40
"
							Canillas (Madrid)
						",71 m2,3.380 €/m2,hoy 12:37
"
							Lucero (Madrid)
						",125 m2,2.640 €/m2,hoy 12:33
"
							Fuentelarreina (Madrid)
						",133 m2,4.887 €/m2,hoy 12:30
"
							Retiro (Madrid)
						",140 m2,5.107 €/m2,hoy 12:28
"
							Retiro (Madrid)
						",157 m2,9.490 €/m2,hoy 12:28
"
							Niño Jesús (Madrid)
						",179 m2,4.581 €/m2,hoy 12:28
"
							Pacífico (Madrid)
						",204 m2,3.309 €/m2,hoy 12:28
"
							Niño Jesús (Madrid)
						",424 m2,4.458 €/m2,hoy 12:28
"
							San Diego (Madrid)
						",153 m2,1.503 €/m2,hoy 12:28
"
							Retiro (Madrid)
						",86 m2,6.965 €/m2,hoy 12:28
"
							Rivas-VaciaMadrid
						",161 m2,2.025 €/m2,hoy 12:28
"
							Pacífico (Madrid)
						",124 m2,3.266 €/m2,hoy 12:28
"
							Adelfas (Madrid)
						",114 m2,5.254 €/m2,hoy 12:28
"
							Pacífico (Madrid)
						",165 m2,4.212 €/m2,hoy 12:28
"
							Arganda del Rey
						",916 m2,1.408 €/m2,hoy 12:28
"
							Pacífico (Madrid)
						",136 m2,4.265 €/m2,hoy 12:28
"
							Pacífico (Madrid)
						",132 m2,4.394 €/m2,hoy 12:28
"
							Retiro (Madrid)
						",210 m2,7.095 €/m2,hoy 12:28
"
							Ibiza (Madrid)
						",138 m2,4.855 €/m2,hoy 12:28
"
							Estrella (Madrid)
						",115 m2,4.257 €/m2,hoy 12:28
"
							San Diego (Madrid)
						",73 m2,2.192 €/m2,hoy 12:28
"
							Estrella (Madrid)
						",126 m2,4.722 €/m2,hoy 12:28
"
							Puente de Vallecas (Madrid)
						",124 m2,2.008 €/m2,hoy 12:28
"
							Santa Eugenia (Madrid)
						",100 m2,2.980 €/m2,hoy 12:28
"
							Estrella (Madrid)
						",99 m2,4.091 €/m2,hoy 12:28
"
							Ibiza (Madrid)
						",80 m2,7.125 €/m2,hoy 12:28
"
							Fontarrón (Madrid)
						",81 m2,3.210 €/m2,hoy 12:28
"
							Retiro (Madrid)
						",131 m2,5.305 €/m2,hoy 12:28
"
							Estrella (Madrid)
						",109 m2,4.037 €/m2,hoy 12:28
"
							Adelfas (Madrid)
						",62 m2,4.355 €/m2,hoy 12:27
"
							Niño Jesús (Madrid)
						",170 m2,4.676 €/m2,hoy 12:27
"
							Pacífico (Madrid)
						",86 m2,5.291 €/m2,hoy 12:27
"
							Centro-Arroyo-La Fuente (Fuenlabrada)
						",90 m2,2.889 €/m2,hoy 12:26
"
							Ciudalcampo
						",615 m2,2.488 €/m2,hoy 12:23
"
							Camarma de EsTeruelas
						",175 m2,1.514 €/m2,hoy 12:18
"
							Torrejón de Ardoz, Zona Noroeste
						",149 m2,1.779 €/m2,hoy 12:17
"
							Loranca- Nuevo Versalles-Parque Miraflores (Fuenlabrada)
						",71 m2,1.521 €/m2,hoy 12:16
"
							Aranjuez, Zona Moreras
						",75 m2,1.267 €/m2,hoy 12:16
"
							Chorrillo (Alcalá de Henares)
						",136 m2,1.323 €/m2,hoy 12:02
"
							Universidad (Madrid)
						",30 m2,4.633 €/m2,hoy 12:01
"
							Pozuelo de Alarcón
						",225 m2,3.311 €/m2,hoy 12:00
"
							Santo Domingo
						",574 m2,2.439 €/m2,hoy 12:00
"
							Fuente del Fresno
						",397 m2,3.023 €/m2,hoy 12:00
"
							Ciudalcampo
						",507 m2,4.911 €/m2,hoy 12:00
"
							Ciudalcampo
						",761 m2,3.022 €/m2,hoy 12:00
"
							Algete
						",317 m2,1.514 €/m2,hoy 12:00
"
							Santo Domingo
						",294 m2,2.636 €/m2,hoy 12:00
"
							San Agustín del Guadalix
						",575 m2,2.435 €/m2,hoy 12:00
"
							Ciudalcampo
						",1011 m2,1.869 €/m2,hoy 12:00
"
							Fuente el Saz de Jarama
						",380 m2,1.447 €/m2,hoy 12:00
"
							Santo Domingo
						",1400 m2,1.286 €/m2,hoy 12:00
"
							San Agustín del Guadalix
						",815 m2,1.534 €/m2,hoy 12:00
"
							San Agustín del Guadalix
						",500 m2,1.790 €/m2,hoy 12:00
"
							Ciudalcampo
						",480 m2,4.375 €/m2,hoy 12:00
"
							Ciudalcampo
						",975 m2,3.200 €/m2,hoy 12:00
"
							Santo Domingo
						",337 m2,3.116 €/m2,hoy 12:00
"
							Cerceda
						",730 m2,1.507 €/m2,hoy 11:59
"
							Navalcarnero, EL PINAR
						",245 m2,1.735 €/m2,hoy 11:59
"
							Abrantes (Madrid)
						",70 m2,1.786 €/m2,hoy 11:59
"
							Fuente del Fresno
						",823 m2,2.309 €/m2,hoy 11:59
"
							Ciudalcampo
						",784 m2,2.538 €/m2,hoy 11:59
"
							Ciudalcampo
						",660 m2,2.423 €/m2,hoy 11:59
"
							Ciudalcampo
						",916 m2,2.456 €/m2,hoy 11:59
"
							San Sebastián de los Reyes
						",240 m2,2.396 €/m2,hoy 11:59
"
							Ciudalcampo
						",450 m2,4.889 €/m2,hoy 11:59
"
							San Sebastián de los Reyes
						",80 m2,2.375 €/m2,hoy 11:59
"
							Ciudalcampo
						",867 m2,2.860 €/m2,hoy 11:59
"
							Valdeolmos-Alalpardo
						",666 m2,1.276 €/m2,hoy 11:59
"
							Ciudalcampo
						",864 m2,3.067 €/m2,hoy 11:59
"
							Ciudalcampo
						",536 m2,2.239 €/m2,hoy 11:59
"
							San Agustín del Guadalix
						",150 m2,2.633 €/m2,hoy 11:59
"
							San Agustín del Guadalix
						",687 m2,1.361 €/m2,hoy 11:59
"
							Santo Domingo
						",792 m2,3.030 €/m2,hoy 11:59
"
							Ciudalcampo
						",550 m2,2.455 €/m2,hoy 11:59
"
							Fuente del Fresno
						",479 m2,4.802 €/m2,hoy 11:59
"
							Fuente el Saz de Jarama
						",540 m2,1.074 €/m2,hoy 11:59
"
							Ciudalcampo
						",930 m2,1.989 €/m2,hoy 11:59
"
							Ciudalcampo
						",400 m2,2.875 €/m2,hoy 11:59
"
							Ciudalcampo
						",600 m2,3.967 €/m2,hoy 11:59
